epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,423.296,2.01122,1.89777,2.06326,0.60092,0.52539,0.58819,0.24145,1.94508,1.63096,2.01392,0.006964,0.006964,0.006964
94,427.814,2.02924,1.92856,2.04673,0.5253,0.50781,0.53449,0.22147,1.90568,1.63617,2.03189,0.006931,0.006931,0.006931
95,432.317,2.03095,1.92387,2.10559,0.50436,0.53125,0.53428,0.22173,1.94404,1.63412,2.04887,0.006898,0.006898,0.006898
96,436.824,2.04168,1.88279,2.09362,0.53241,0.52927,0.54294,0.23004,1.86454,1.61453,1.984,0.006865,0.006865,0.006865
97,441.338,2.02832,1.91811,2.09264,0.5824,0.5332,0.57838,0.24312,1.87106,1.56575,2.01521,0.006832,0.006832,0.006832
98,445.858,2.02713,1.90896,2.07727,0.57665,0.55603,0.58334,0.24467,1.8784,1.58637,2.00187,0.006799,0.006799,0.006799
99,450.374,2.0222,1.91924,2.08169,0.51557,0.56332,0.5495,0.23721,1.8804,1.59562,1.99645,0.006766,0.006766,0.006766
100,454.882,2.05022,1.96081,2.11362,0.54525,0.5,0.52684,0.23907,1.84441,1.64303,2.00258,0.006733,0.006733,0.006733
101,459.387,2.02892,1.86294,2.05938,0.55977,0.56055,0.5796,0.25339,1.88697,1.59257,1.98285,0.0067,0.0067,0.0067
102,463.9,1.99464,1.87377,2.05659,0.58318,0.55078,0.60105,0.26789,1.85927,1.5605,1.99637,0.006667,0.006667,0.006667
103,468.409,2.00735,1.89951,2.06757,0.58413,0.54297,0.57765,0.24014,1.86134,1.56994,1.98827,0.006634,0.006634,0.006634
104,472.914,2.00825,1.87193,2.07544,0.56177,0.55859,0.57884,0.25876,1.83202,1.53323,1.98103,0.006601,0.006601,0.006601
105,477.428,1.98648,1.85404,2.02913,0.56415,0.57812,0.58331,0.25783,1.85316,1.56379,1.96649,0.006568,0.006568,0.006568
106,481.93,2,1.88696,2.03655,0.62009,0.52148,0.58552,0.26394,1.82697,1.57947,1.95853,0.006535,0.006535,0.006535
107,486.434,2.02904,1.88956,2.0534,0.55866,0.57606,0.58286,0.2576,1.83877,1.55654,1.9637,0.006502,0.006502,0.006502
108,490.94,1.98901,1.86679,2.03976,0.56894,0.54392,0.58927,0.27111,1.83114,1.55007,1.96592,0.006469,0.006469,0.006469
